2249;1105;40
278;832;247
1459;1404;932
2116;1873;105
3337;1928;515
1191;249;141
1456;1804;329
1420;157;945
1946;680;119
3503;1542;610
592;1848;471
1777;1185;330
2196;1078;893
1889;1720;411
2360;538;920
2085;1797;350
119;890;585
210;1841;799
2954;1253;65
810;808;692
3731;1803;11
1820;435;299
3619;1219;596
3960;1824;795
321;724;832
1309;801;319
3278;370;683
2;879;400
3485;1906;229
2154;1156;28
414;551;842
632;506;215
240;1344;797
1893;1017;78
2834;1384;245
2314;1089;132
1677;73;103
2339;880;952
70;984;384
2132;1084;891
7;1897;120
2359;715;786
165;550;579
1654;1486;638
449;1756;847
1060;195;505
895;10;959
3907;1503;174
3793;578;792
1904;1118;704
2256;517;914
1000;1347;314
3784;960;767
2920;1809;791
637;536;299
2959;1326;289
1911;804;697
3999;1093;628
2105;393;876
3624;1821;751
3979;1762;164
1736;127;313
2964;1170;51
32;1428;56
3217;791;927
1655;1900;908
3928;1338;512
981;1513;893
2040;690;962
2371;1434;856
2012;1975;87
954;1556;744
219;1778;698
700;487;488
1300;1251;646
3736;103;646
3688;376;766
2282;296;81
1152;93;410
1770;132;784
673;52;170
2453;462;379
2005;510;381
3014;1243;741
2347;1997;874
1365;1457;784
3382;964;27
1866;460;712
3334;578;840
3196;229;303
767;1474;99
1856;126;523
35;1248;894
3991;247;899
3944;1385;108
3370;1235;263
170;1403;826
2352;181;604
1116;1294;697
3586;1263;451
114;1710;594
3478;1919;906
129;1293;732
3241;318;302
1842;787;381
649;254;892
2905;891;68
73;1855;324
129;15;703
2279;1148;144
3208;1020;990
2184;746;270
845;885;662
3325;479;63
3431;256;381
747;1840;797
990;1092;808
513;566;31
1204;1227;591
2735;684;850
977;1482;796
846;1034;10
425;1514;155
1306;516;914
2932;989;109
804;1364;658
1822;1668;732
3238;171;238
3079;1029;534
2991;504;888
3461;1269;475
555;1117;355
1833;1789;381
514;1770;371
1424;1502;419
277;1305;92
783;317;486
3433;28;262
1706;1019;244
1680;1260;362
3287;1689;60
2098;6;25
1120;129;575
2702;900;336
1992;864;486
2043;1713;221
2640;88;715
1085;1811;147
3825;1576;145
3388;1945;501
1310;1865;923
642;673;676
2909;1748;83
2717;358;51
3958;1389;782
2452;1841;197
297;653;506
1690;787;856
1118;954;743
2711;851;677
1978;992;421
1973;1935;708
902;44;623
3078;311;182
655;486;690
3139;124;509
3525;715;67
2446;1648;967
1848;1559;75
1713;1818;92
2829;1619;522
1601;634;953
3848;995;539
905;550;707
3115;1498;766
1131;69;131
3281;586;6
1450;398;52
683;1750;711
3749;1066;205
3274;562;635
3209;1224;935
1595;1058;485
3276;1559;31
2600;1799;594
3525;1112;27
2851;343;952
2813;30;216
1622;1862;198
2383;1648;502
667;101;52
817;1510;609
1236;1832;911
579;472;333
3437;588;248
1882;1616;342
234;358;990
254;827;839
441;604;470
3447;1705;619
