1355;1796;496
2524;387;414
2769;430;500
3131;1199;1133
661;87;903
628;974;1081
1748;185;1859
3650;1882;945
3474;1230;1389
2662;1405;776
249;47;774
681;385;1727
2219;964;1370
3741;252;1839
3088;1482;267
2428;1551;891
3562;3;82
3734;657;1819
229;1847;182
2346;573;1500
34;1705;1371
3365;1888;774
47;1340;88
2005;1631;819
1067;407;1481
3209;224;756
2371;371;834
3990;1450;974
594;563;1477
990;47;1499
97;409;1025
3697;324;394
3125;1312;1585
2578;1230;1855
43;770;191
729;356;976
771;1904;1497
2573;1231;1269
3660;427;1599
3637;1416;1066
3585;1109;277
550;1241;379
583;895;158
724;765;581
3134;177;311
1450;602;1867
1065;1451;526
901;745;1188
227;534;986
2943;1341;104
3846;256;1947
1479;1027;617
3166;973;557
2097;299;81
165;413;557
3144;924;585
3796;244;1046
3134;746;555
3855;1808;1284
1172;933;125
1285;1233;1686
2667;1503;1995
2678;1417;182
1972;616;129
2401;1778;1685
928;782;163
1642;1125;1604
554;1946;1688
922;1647;785
359;1840;1033
1639;4;622
3964;1678;1284
1341;844;1284
2791;1912;1390
2571;560;1669
2614;132;360
1842;1709;1888
816;696;1351
3399;405;20
1852;682;561
1823;868;445
3901;849;606
3069;412;1133
2133;1803;1899
656;226;931
3779;320;1618
2398;214;497
2685;520;1842
3626;4;1866
1922;1845;754
3991;1300;246
3430;746;1510
3174;606;390
939;1962;860
2237;764;323
3691;1650;1075
664;1058;1278
2465;426;310
3954;681;1727
2246;490;1895
2343;360;965
2504;302;297
2866;1409;939
11;1064;1203
278;318;1655
849;777;1383
3171;1147;264
3983;1428;1958
389;1979;686
1410;1050;1326
707;1513;1508
2559;975;1478
816;83;607
3819;191;283
2286;1740;1022
893;1198;166
883;826;345
1199;1948;611
1229;1036;824
3587;1123;1064
3016;260;34
2218;431;1094
1954;737;1183
1199;322;119
2337;850;962
2605;556;1940
892;93;1631
1311;113;736
2759;1067;1588
3023;557;657
2207;907;1687
949;576;1018
2959;1856;1792
1675;616;491
56;1957;1841
1651;164;197
2065;430;1302
1902;1390;293
3226;1399;1055
772;1422;150
864;1933;945
1521;1224;1845
499;1421;1871
1417;1961;424
2898;1609;168
3400;530;145
60;1148;839
262;362;1931
2498;1204;450
993;581;849
2540;260;1935
1525;726;291
2549;554;351
1508;1818;1287
1878;234;262
2935;1553;1624
932;34;1625
3735;514;1106
2032;230;1155
331;1322;704
307;671;228
1414;472;1719
1416;553;555
535;1791;1423
3842;1892;597
3576;1287;286
704;535;1567
2682;984;960
3507;486;1856
3661;867;1528
1358;1913;1350
3726;56;237
2861;825;1809
1795;337;1802
3797;990;1716
3828;57;178
1774;1020;70
263;208;527
3134;1169;420
3369;697;889
1913;314;175
314;954;736
2088;453;1327
1838;1943;43
518;452;296
3469;1080;64
2121;1641;859
3903;911;1635
3848;355;1993
2298;573;1226
373;80;931
701;1438;1573
350;802;1689
501;1290;5
1514;277;1340
189;1151;1145
3688;759;727
973;984;1637
910;1383;1255
262;1669;1307
